"ID","SexEstimate","BirthYear","MumID"
 297, 0, 1989,
 298, 1, 1988,
 299, 1, 1990,
 300, 1, 1990,
 301, 0, 1990,
 302, 0, 1990,
 303, 0, 1989,
 304, 1, 1983,
 305, 1, 1989,
 306, 0, 1990,
 307,, 1990,
 308, 0, 1990,
 309,, 1990,
 310,, 1990,
 311,, 1990,
 312, 0, 1990,
 313, 1, 1989,
 314, 1, 1990,
 315, 1, 1989,
 316, 0, 1990,
 317, 0, 1990,
 318, 1, 1990,
 319, 1, 1990,
 320, 0, 1989,
 321, 0, 1990,
 322, 0, 1989,
 323, 0, 1990,
 324, 1, 1989,
 325, 0, 1988,
 326, 0, 1989,
 327, 1, 1988,
 328, 1, 1989,
 329, 0, 1988,
 330, 0, 1990,
 331, 1, 1988,
 332, 0, 1990,
 333, 0, 1988,
 334,, 1996,
 335, 1, 2003, 1222
 336,, 1991,
 337,, 1991,
 338,, 1991,
 339, 1, 1991,
 340,, 1991,
 341, 0, 1991,
 342,, 1991,
 343,, 1991,
 344, 1, 1990,
 345,, 1991,
 346,, 1992,
 347,, 1992,
 348,, 1992,
 349,, 1992,
 350,, 1992,
 351,, 1992,
 352,, 1992,
 353, 1, 1992,
 354, 1, 1992,
 355,, 1992,
 356,, 1992,
 357,, 1991,
 358, 1, 1992,
 359,, 1992,
 360, 0, 1992,
 361,, 1992,
 362, 0, 1992,
 363,, 1992,
 364,, 1992,
 365,, 1992,
 366,, 1992,
 367,, 1992,
 368, 0, 1992,
 369, 1, 1992,
 370,, 1992,
 371,, 1993,
 372, 0, 1993,
 373,, 1992,
 374, 0, 1993,
 375, 1, 1993,
 376, 1, 1993, 244
 377,, 1993,
 378,, 1993,
 379, 1, 1993,
 380,, 1993,
 381, 1, 1994,
 382,, 1993,
 383,, 1993,
 384,, 1994,
 385,, 1994,
 386, 1, 1994,
 387,, 1994,
 388, 1, 1994,
 389, 1, 1998,
 390,, 1994,
 391,, 1993,
 392, 1, 1994,
 393,, 1994,
 394, 1, 1994,
 395, 0, 1993,
 396,, 1994,
 397,, 1994,
 398,, 1994,
 399,, 1994,
 400, 1, 1994,
 401,, 1994,
 402,, 1994,
 403,, 1993,
 404,, 1993,
 405,, 1993,
 406,, 1994,
 407,, 1994,
 408,, 1994,
 409,, 1994,
 410,, 1994,
 411,, 1994,
 412,, 1994,
 413,, 1994,
 414,, 1994,
 415,, 1994,
 416,, 1994,
 417,, 1993,
 418, 1, 1994,
 419,, 1994,
 420,, 1994,
 421,, 1993,
 422,, 1994,
 423,, 1994,
 424,, 1993,
 425,, 1994,
 426, 1, 1974,
 427, 0, 1975,
 428, 0, 1977,
 429, 1, 1978,
 430, 0, 1984,
 431,, 1986,
 432,, 1986,
 433,, 1986,
 434,, 1986,
 435,, 1986,
 436, 1, 1992,
 437, 0, 1992,
 438, 1, 1992,
 439, 1, 1992,
 440, 0, 1992,
 441, 0, 1992,
 442, 0, 1992,
 443, 0, 1992,
 444, 0, 1992,
 445, 1, 1992,
 446, 1, 1992,
 447, 0, 1992,
 448, 1, 1992,
 449, 0, 1992,
 450, 0, 1992,
 451, 0, 1992,
 452, 1, 1992,
 453, 1, 1992,
 454, 0, 1992,
 455, 0, 1992,
 456, 0, 1992,
 457, 0, 1992,
 458, 0, 1992,
 459, 0, 1992,
 460, 0, 1992,
 461, 0, 1992,
