"id","mum","dad","p","FPID","O_Terr"
879,"447","51",0.999,17,38
880,"443","200",1,19,7
881,NA,"498",0.365,17,54
884,"469","467",0.998,19,45
885,"172","1861",1,19,16
886,"502","215",1,19,19
887,"171","877",1,19,50
888,"441","860",0.996,19,28
889,"442","609",1,19,30
890,"199","609",0.994,19,30
891,"163","510",0.969,19,42
892,"627","549",1,19,106
911,"594","29",1,17,18
912,"64","178",1,17,71
913,"443","200",1,17,7
914,"1859","609",0.868,17,10
915,"444","293",0.998,17,26.1
916,"468","465",0.994,17,112
917,"469","453",0.978,17,45
918,"171","602",0.999,17,50
919,"163","510",0.986,17,42
920,"213","176",0.953,17,112
921,"459","465",1,17,39
922,NA,NA,0.631,17,1
923,"440","44",0.999,17,3.1
924,"792","494",0.999,17,51
925,"598",NA,0.486,17,78
926,NA,"499",0.613,17,2
927,NA,"562",1,17,8
928,"172",NA,0.693,17,15.5
929,"199","609",1,17,30
930,NA,"200",0.634,17,9
931,"454","609",0.999,17,32
932,"308","216",1,17,37
937,"677","673",1,17,95.1
938,"163","510",0.9,17,42
939,"464","603",0.363,17,36
940,NA,"559",0.994,17,104
941,"543","540",1,17,92
942,"663",NA,0.794,17,74.1
943,"464",NA,0.651,19,36
944,"524","856",0.996,19,114
945,"168","831",1,19,60
946,"474","857",0.994,19,60
947,"560",NA,0.737,17,46
948,"500","494",1,19,29
949,"524","856",1,19,114
950,"217","293",1,19,78
951,"457","507",1,19,11
1015,"832","830",0.999,19,56
1016,"823","562",1,21,8
1017,"34",NA,0.333,14,77
1018,"853","1862",1,19,54
1019,NA,"881",0.983,19,58
1020,"441","436",0.999,19,28
1021,"840","75",0.975,19,15
1022,NA,"824",0.649,19,75
1023,"511","51",1,19,34
1024,"454","507",1,19,32
1025,"308","216",1,19,37
1026,"608","510",1,21,42
1027,"459","176",1,19,39
1028,"543","545",0.993,19,92
1029,"217","836",1,21,78
1030,"459","947",1,21,39
1031,"168","605",0.991,21,60
1032,"827","606",1,21,46
1033,"297","1862",1,21,80
1034,"912","922",1,21,1
1035,NA,NA,0.44,19,42
1036,"542","673",1,19,96
1037,"521","881",0.499,19,52
1038,"561","467",1,21,47
1039,NA,"215",0.573,19,21
1040,"1017","507",0.437,19,77
1041,NA,"881",0.892,19,53.1
1042,"1043","559",0.967,21,108
1043,NA,NA,0.616,19,108
1044,"524","634",0.999,21,114
1045,"503","470",1,21,25
1046,"1017","605",0.968,21,77
1047,"521","1037",0.755,21,52
1048,"444","42",1,21,26.1
1049,"500","494",1,21,29
1050,"853","865",1,21,54
1051,"858","857",1,21,62
1052,"794","549",0.911,21,31
1053,"199","609",0.999,21,30
1054,"458","499",1,21,9
1055,"930",NA,0.682,19,9
1056,"641","637",0.999,21,72
1057,"675","549",0.996,21,88
1058,"449","947",0.999,21,41
1059,"872","602",0.86,21,84.1
1060,"675","549",0.947,21,88
1061,"595","215",0.998,21,6
1062,"835","860",0.999,21,51.1
1063,"528","178",0.992,21,71
1130,"163","510",1,21,42
1151,"542","547",1,21,96
1152,"199","609",0.999,22,30.1
1153,"508","467",0.998,21,84
1154,"855","877",0.99,21,63
1155,"508",NA,0.636,21,84
1156,"454","216",0.999,21,32
1157,"454","221",1,21,32
1158,NA,"881",0.981,21,52.1
1159,"297","634",0.997,21,80
1160,"450","629",1,21,57
1161,"308","216",1,21,37
1162,"500","494",1,21,29
1163,"912","922",1,21,1
1164,"502","293",0.999,21,19
1165,"924","220",1,21,20
1166,NA,"605",0.319,21,75
1167,"450","629",1,21,57
1168,"938","550",1,21,95
1169,"558","557",1,21,41
1170,"915","941",1,22,92.1
1171,"542","547",0.999,21,96
1172,"543","540",1,21,92
1173,"677","673",0.997,21,95
1174,"531","776",0.949,21,81
1175,"641","637",1,21,72
1176,"774","633",0.999,21,82
1177,NA,"854",0.642,21,109
1178,NA,NA,0.438,21,48
1179,"297","836",1,22,80
1180,"938","547",0.973,21,95
1181,"1182","851",1,22,90
1182,"461",NA,0.655,21,60
1183,"774","864",1,21,82
1184,"604","1039",0.579,21,33
1185,"862","854",0.993,21,64
1186,"604","603",0.992,21,33
1187,"596","497",1,21,5
1188,"878","879",1,21,47.1
1189,NA,"545",0.692,21,83
1190,"942","331",0.996,21,110
1191,NA,"633",0.918,21,82.1
1192,"508",NA,0.624,21,84
1193,"541",NA,0.626,21,74
1194,NA,"1018",0.999,21,111
1195,NA,"854",0.931,21,63
1196,"522","1015",1,21,58
1197,"675","846",1,21,88
1198,NA,"642",0.977,21,82
1199,"862","854",0.992,21,64
1200,"878","453",0.998,21,47.1
1201,"543","540",0.964,21,92
1202,"469","467",1,21,45
1203,"466","51",0.999,21,35
1204,"876","824",0.487,21,85
1205,NA,"331",0.999,21,82.2
1207,"628","1041",0.921,22,52
1208,"845","941",0.916,22,93
1209,"458","867",1,22,9
1210,"930","867",0.997,22,9
1211,NA,"547",0.918,21,73
1212,NA,"1039",0.47,21,33.1
1213,"455","1212",1,22,33.1
1214,"503","470",1,22,25
1215,"1043","559",0.993,22,108
1216,"308","216",0.999,22,37
1217,"531","849",0.704,21,81
1218,NA,"547",0.998,21,103.1
1219,"458","1039",0.997,21,9
1220,"524","634",1,22,114
1221,"1246","868",1,22,23
1222,"927","501",1,23,1.1
1223,"1043","1276",0.849,23,108
1224,"838","215",0.964,22,18
1225,"635","636",1,21,70
1226,"835","1165",0.999,22,51.1
1227,"880","436",1,23,51
1228,"826","1212",0.983,22,33.1
1229,"500","494",1,23,29
1230,"469","467",0.967,22,45
1231,"915","941",1,22,92.1
1232,"169","890",0.827,22,22
1233,"666","916",1,22,102
1234,"168","854",0.859,22,60
1235,NA,"1039",0.963,21,21
1236,"912","922",1,22,1
1237,"561","51",1,22,47
1238,"479","866",1,22,59
1239,"442","868",0.999,22,30.1
1240,NA,"642",0.958,21,82.3
1241,"641","637",1,22,72
1242,"774","633",0.995,21,82
1243,"862","857",1,21,64
1244,NA,"216",0.621,22,33
1245,"774","857",0.962,23,82
1246,"827","176",0.61,21,46
1247,NA,"922",0.364,21,17
1248,"912","922",1,23,1
1262,"474","884",1,23,60
1267,"297","1862",0.999,23,80
1268,"931","1040",1,23,6
1269,"679",NA,0.355,22,73
1270,"1271","1395",0.999,23,111
1271,"855","854",1,22,63
1272,"855","854",0.997,22,63
1273,"942","864",0.787,21,110
1274,"560",NA,0.686,21,46
1275,"608","510",1,23,42
1276,"1182","851",1,22,90
1277,"949","557",1,23,41
1278,"171","602",1,23,50
1279,"522","1174",1,22,58
1285,"1218","544",0.999,22,103.1
1286,"825","672",1,23,24
1287,"441","1165",1,23,28
1288,"635","636",0.999,23,70
1290,"862","1198",1,23,60.1
1291,"528","178",1,23,71
1292,"1206","1176",0.915,23,74
1293,"522","629",0.993,23,58
1294,"1173","1041",1,23,53.1
1295,"1403","849",1,23,69
1296,"670","1211",1,23,73
1297,"1017","1018",1,23,77
1298,"1049","636",0.999,23,81
1299,"1218","916",0.75,22,103.1
1300,"1299","1028",0.999,23,103.1
1301,"530","637",1,22,72
1302,"641","637",1,23,72
1303,NA,"636",0.898,22,69
1304,"677","1168",0.931,22,95
1305,"1177","854",0.988,23,109
1306,"561","1178",1,23,47
1345,"455","507",0.996,22,33.1
1346,NA,"523",0.392,23,52.1
1347,NA,"860",0.402,22,29
1348,"930","495",1,25,9
1349,"596","200",0.983,25,5
1355,"168","884",1,23,60
1356,"832","1041",1,22,56
1357,"853","865",1,22,54
1358,"1019","494",0.55,23,52.1
1359,"444","1166",1,25,26.1
1360,"630","1041",1,22,53.1
1361,"628","1041",1,25,52
1362,"199","609",1,25,30.1
1363,"1049","776",1,25,81
1364,"1173","1159",0.997,25,53.1
1365,"869","453",0.997,25,46.2
1366,"1158","1041",0.895,25,52.1
1367,"912","922",0.999,25,1
1368,"932","216",1,22,37
1369,"459","947",1,22,39
1370,"308","216",0.993,22,37
1371,"454","216",0.989,23,32
1380,"561","467",1,22,47
1381,NA,"847",0.975,22,94
1382,"679","477",0.914,22,73
1383,"604","1178",0.614,22,33
1384,"1246","609",1,25,23
1385,"604","216",0.998,25,33
1386,"455","176",0.946,22,33.1
1387,"308","1274",1,25,37
1388,"1386","1274",1,25,34
1389,"457","507",0.822,25,11
1390,NA,"1274",0.874,25,11
1391,"596","200",1,22,5
1392,"172","1020",0.771,22,16
1393,"1345","215",1,25,16
1394,"832","1041",1,25,56
1395,"1177","824",0.718,22,109
1396,"469","467",0.597,25,45
1397,"1347","494",1,25,29
1398,"845","674",1,25,93
1399,"845","674",1,25,93
1400,"1401","605",1,25,85
1401,"601","1018",0.997,22,116
1402,"1186","890",1,25,50.1
1403,"531","776",1,22,81
1404,"454","221",1,22,32
1405,"859","929",0.998,23,10
1406,"1403","849",1,25,69
1407,"1026","1032",1,25,43
1408,"1017","1018",1,25,77
1409,"840","597",1,25,15
1410,"502","215",1,25,19
1411,"169","890",0.904,25,22
1412,"457","868",1,25,11
1413,"927","501",1,25,1.1
1414,"447","1203",0.556,25,38
1415,"441","1165",0.926,25,28
1416,"1271","605",1,25,111
1417,"825","672",0.997,25,24
1418,"912","922",1,27,1
1419,"912","922",1,27,1
1420,"1347","494",0.984,27,29
1421,"1345","215",0.999,27,16
1422,"1049","632",1,27,81
1423,"447","1203",1,27,38
1424,"774","1198",1,27,82
1425,"1403","849",1,27,69
1426,"522","1360",1,27,58
1427,"862","917",1,27,60.1
1428,"524","865",1,26,114
1429,"915","847",1,26,92.1
1430,"1172","1171",1,23,94.1
1431,"561","467",1,26,47
1432,"504","44",1,25,3.1
1433,"1222","501",0.756,27,1.1
1434,"880","1047",0.997,27,51
1435,"853","865",1,28,54
1436,"524","865",1,28,114
1437,"1017","1018",0.999,25,77
1438,"1155","1154",1,28,112
1439,"932","1274",1,27,37
1440,"1177","1243",1,28,109
1441,"915","1412",1,28,88
1485,"823","562",1,25,8
1486,"601","506",1,28,116
1487,"914","1040",0.998,28,76
1488,"628",NA,0.614,28,52
1489,"1042","453",1,28,46
1490,NA,"1041",0.883,28,52.2
1491,"308","609",0.599,28,37
1492,"542","544",0.812,27,30.1
1493,"835","1031",1,28,51.1
1494,"845","1276",1,28,93
1495,"1200","1156",1,28,47.1
1496,"1160","1047",1,28,78
1497,"1304","668",1,28,97.1
1498,"666","1028",0.999,28,102
1499,"670","1381",1,28,73
1500,"442","609",1,27,30.1
1501,"826","216",0.98,26,33.1
1502,"1517","1062",1,28,103.1
1503,"1186","1184",1,26,50.1
1504,"1404","507",1,28,32
1505,NA,"911",0.555,28,21
1506,"1200","1156",0.988,28,47.1
1507,"1271","506",0.989,28,111
1508,"168","1045",1,27,60
1509,"925","1287",1,27,2
1510,"1247","1020",0.998,28,17
1511,"840","597",1,27,15
1512,"951","1196",1,28,59.1
1513,"1244","467",0.996,28,50
1514,"1059","494",1,28,18
1515,"444","1166",1,28,26.1
1516,"1437","1279",0.946,28,59
1517,"639","208",0.999,25,101.1
1518,"1401","1185",1,28,85
1519,"912","922",0.826,28,1
1520,"502","1164",0.999,28,19
